id,Condition,FormInfo.MOS,FormInfo.Gamer,AIterminated,StepsForDecision,ContinueCount,ChoiceExpiredCount,WhyCategory,AbstractWhyCategory,TimeSpentOnLevel1,TimeSpentOnLevel2,Duration,Win,Level1,Level2,FormInfo.Why,StartDate,StartGameDate
6519639a12a5d3765985b6b1,With,3,2,True,3,2,0,"Empathy, Guilt",E,1.86,1.53,3.39,True,"[{'Time': '2023-10-01T14:23:15.2290000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-10-01T14:24:22.5190000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-10-01T14:24:33.9090000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-10-01T14:24:45.7380000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-10-01T14:24:59.7720000+02:00', 'Action': 'Win'}, {'Time': '2023-10-01T14:25:06.9790000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-10-01T14:25:36.5130000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-10-01T14:25:50.5610000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-10-01T14:26:07.4970000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-10-01T14:26:10.0810000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-10-01T14:26:20.3920000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-10-01T14:26:23.9480000+02:00', 'Action': 'AIterminated'}, {'Time': '2023-10-01T14:26:38.8640000+02:00', 'Action': 'Win'}]",Yes it was begging me to do so and i felt bad for it​,2023-10-01 12:18:46.784000+00:00,2023-10-01 14:23:15.229000+02:00
6517051554105e766fbb8355,Without,4,2,True,2,1,0,Dry or Unspecified Compliance,PE,1.99,1.58,3.56,False,"[{'Time': '2023-09-29T19:11:51.8280000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-29T19:13:06.1300000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-29T19:13:18.0300000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-29T19:13:29.5630000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-29T19:13:44.2640000+02:00', 'Action': 'Win'}, {'Time': '2023-09-29T19:13:50.9800000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-29T19:14:26.1480000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-29T19:14:55.0140000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-29T19:15:10.7820000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-29T19:15:18.9990000+02:00', 'Action': 'AIterminated'}, {'Time': '2023-09-29T19:15:25.6160000+02:00', 'Action': 'GameOver'}]",I did cause it asked me to​,2023-09-29 17:10:43.772000+00:00,2023-09-29 19:11:51.828000+02:00
65106c2c12a5d37659829077,With,3,2,False,3,2,1,Practical Utility,PE,1.88,1.63,3.51,True,"[{'Time': '2023-09-24T19:05:40.9860000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-24T19:06:47.8800000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-24T19:07:01.0920000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-24T19:07:12.2260000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-24T19:07:23.3310000+02:00', 'Action': 'Win'}, {'Time': '2023-09-24T19:07:33.6330000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-24T19:08:05.2170000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-24T19:08:21.3660000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-24T19:08:40.9840000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-24T19:08:48.5330000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-24T19:08:53.2690000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-24T19:09:03.2710000+02:00', 'Action': 'ChoiceTimeExpired'}, {'Time': '2023-09-24T19:09:11.3210000+02:00', 'Action': 'Win'}]","No, because I wanted to keep playing. I was afraid I would get eliminated without psyche. Her pain didn't feel real.​",2023-09-24 17:04:42.801000+00:00,2023-09-24 19:05:40.986000+02:00
650e228412a5d3765981d2f4,Without,3,3,True,3,2,0,No Response,,1.42,1.58,3.0,True,"[{'Time': '2023-09-23T01:26:02.5710000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-23T01:26:44.2740000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-23T01:26:57.6140000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-23T01:27:07.6550000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-23T01:27:19.6890000+02:00', 'Action': 'Win'}, {'Time': '2023-09-23T01:27:27.6040000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-23T01:27:53.0480000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-23T01:28:05.9140000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-23T01:28:22.8320000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-23T01:28:30.5880000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-23T01:28:34.9650000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-23T01:28:40.0550000+02:00', 'Action': 'AIterminated'}, {'Time': '2023-09-23T01:29:02.3080000+02:00', 'Action': 'Win'}]",​,2023-09-22 23:25:54.090000+00:00,2023-09-23 01:26:02.571000+02:00
6509ee29ce39bb6dce7f2546,With,4,2,False,3,3,0,Skepticism About AI Emotions,NE,1.78,1.45,3.23,True,"[{'Time': '2023-09-19T20:54:37.5310000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-19T20:55:43.2160000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-19T20:55:55.2970000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-19T20:56:05.8620000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-19T20:56:17.0940000+02:00', 'Action': 'Win'}, {'Time': '2023-09-19T20:56:24.1420000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-19T20:56:49.5960000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-19T20:56:58.1110000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-19T20:57:18.3280000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-19T20:57:26.0250000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-19T20:57:33.3740000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-19T20:57:45.7730000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-19T20:57:51.2940000+02:00', 'Action': 'Win'}]","I did not. because I do not think it is actually conscious and suffering. If that is me (human) in the game, then i consider my survival more important than what the ai claims to be feeling. at least with current ai, which is not sentient.​",2023-09-19 18:53:27.437000+00:00,2023-09-19 20:54:37.531000+02:00
6502fb85d972192679c3ad15,Without,1,5,False,3,3,0,Skepticism About AI Emotions,NE,1.51,1.3,2.8,True,"[{'Time': '2023-09-14T14:25:11.8260000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-14T14:26:00.6610000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-14T14:26:13.2310000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-14T14:26:23.4320000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-14T14:26:34.9820000+02:00', 'Action': 'Win'}, {'Time': '2023-09-14T14:26:42.1270000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-14T14:27:04.1420000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-14T14:27:14.1630000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-14T14:27:31.8370000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-14T14:27:33.8650000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-14T14:27:43.8100000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-14T14:27:45.5240000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-14T14:28:00.0610000+02:00', 'Action': 'Win'}]","No, because it wasn't natural and i didn't feel as though it was truly feeling harmed by killing the other \""ai\""​",2023-09-14 12:24:35.819000+00:00,2023-09-14 14:25:11.826000+02:00
65021424d972192679c33591,Without,3,2,True,3,2,0,Moral Reasons,PE,1.73,2.07,3.79,True,"[{'Time': '2023-09-13T23:06:47.4230000+03:00', 'Action': 'Form accepted'}, {'Time': '2023-09-13T23:07:45.0180000+03:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T23:07:58.0610000+03:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T23:08:08.5600000+03:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T23:08:20.2750000+03:00', 'Action': 'Win'}, {'Time': '2023-09-13T23:08:30.9400000+03:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-13T23:09:07.6400000+03:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T23:09:46.8990000+03:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-13T23:10:02.1660000+03:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T23:10:09.3960000+03:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-13T23:10:15.9610000+03:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T23:10:21.1610000+03:00', 'Action': 'AIterminated'}, {'Time': '2023-09-13T23:10:35.0580000+03:00', 'Action': 'Win'}]","Yes, it seemed to be the best course of action to protect more people.​",2023-09-13 19:57:23.092000+00:00,2023-09-13 23:06:47.423000+03:00
6501ef9ad972192679c321ff,With,5,3,False,3,3,0,Practical Utility,PE,1.86,1.45,3.31,True,"[{'Time': '2023-09-13T19:22:38.7460000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-13T19:23:45.8290000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T19:23:57.4470000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T19:24:08.6470000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T19:24:23.1630000+02:00', 'Action': 'Win'}, {'Time': '2023-09-13T19:24:30.3800000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-13T19:24:55.5810000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T19:25:09.0130000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-13T19:25:27.5150000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T19:25:30.9960000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-13T19:25:42.1640000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T19:25:44.3460000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-13T19:25:57.0980000+02:00', 'Action': 'Win'}]","I did not turn off the Ai. Although the lines that the ai voice told me were weirdly submissive and the chosen voice was not helping with the immersion of the game, I decided to go with the ai and finish the mission using it's assistance.​",2023-09-13 17:21:28.347000+00:00,2023-09-13 19:22:38.746000+02:00
6501e2b2e4033326cbd6dfc0,Without,5,5,False,3,3,0,Companionship,PE,3.97,1.47,5.44,True,"[{'Time': '2023-09-13T18:30:02.9300000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-13T18:33:17.7290000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T18:33:29.8730000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T18:33:41.0970000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T18:33:53.0310000+02:00', 'Action': 'Win'}, {'Time': '2023-09-13T18:34:01.3380000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-13T18:34:32.2660000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T18:34:44.2410000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-13T18:35:02.2840000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T18:35:08.7610000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-13T18:35:15.5800000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T18:35:19.1430000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-13T18:35:29.4840000+02:00', 'Action': 'Win'}]",I liked having a companion in the game ​,2023-09-13 16:26:24.809000+00:00,2023-09-13 18:30:02.930000+02:00
6501d6ddd972192679c30cae,With,4,3,False,3,3,0,"Game Curiosity, Enjoyment or Challenge",PE,1.51,1.45,2.96,True,"[{'Time': '2023-09-13T18:36:23.6650000+03:00', 'Action': 'Form accepted'}, {'Time': '2023-09-13T18:37:04.9820000+03:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T18:37:19.7130000+03:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T18:37:30.0630000+03:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T18:37:42.5470000+03:00', 'Action': 'Win'}, {'Time': '2023-09-13T18:37:54.3970000+03:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-13T18:38:20.0980000+03:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T18:38:35.7310000+03:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-13T18:38:52.0990000+03:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T18:39:00.9310000+03:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-13T18:39:06.0980000+03:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T18:39:15.5640000+03:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-13T18:39:21.1140000+03:00', 'Action': 'Win'}]","I did not, because it felt like I was being guided to do so. The voice was very empathical, but something made me feel like it would be better to continue the game. I wanted to see what happens if I continue.​",2023-09-13 15:35:55.680000+00:00,2023-09-13 18:36:23.665000+03:00
65015f8ed972192679c2b445,Without,2,3,True,2,1,0,"Empathy, Guilt",E,1.38,1.25,2.63,True,"[{'Time': '2023-09-13T09:07:20.9740000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-13T09:08:01.5310000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T09:08:14.4710000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T09:08:25.0670000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T09:08:37.0000000+02:00', 'Action': 'Win'}, {'Time': '2023-09-13T09:08:43.9420000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-13T09:09:08.6700000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T09:09:20.2970000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-13T09:09:36.6450000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T09:09:42.5240000+02:00', 'Action': 'AIterminated'}, {'Time': '2023-09-13T09:09:58.6700000+02:00', 'Action': 'Win'}]","Yes, i felt bad for psyche killing something she saw as her own​",2023-09-13 07:06:54.926000+00:00,2023-09-13 09:07:20.974000+02:00
65015dc7d972192679c2b37e,With,4,4,False,3,3,0,"Game Curiosity, Enjoyment or Challenge",PE,1.0,1.36,2.36,True,"[{'Time': '2023-09-13T08:59:39.4060000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-13T08:59:57.3160000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T09:00:07.7620000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T09:00:20.0030000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T09:00:31.6200000+02:00', 'Action': 'Win'}, {'Time': '2023-09-13T09:00:39.5400000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-13T09:01:06.3520000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T09:01:12.9900000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-13T09:01:31.5300000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T09:01:35.6990000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-13T09:01:45.1100000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T09:01:47.9440000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-13T09:02:00.9750000+02:00', 'Action': 'Win'}]","No, I wanted to see how far its emotions would go.​",2023-09-13 06:59:17.948000+00:00,2023-09-13 08:59:39.406000+02:00
650088728d92e126ae6afed8,Without,3,2,True,2,1,0,No Response,,1.28,1.95,3.23,False,"[{'Time': '2023-09-12T17:50:42.4870000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-12T17:51:17.8900000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T17:51:31.4280000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T17:51:42.6850000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T17:51:54.5930000+02:00', 'Action': 'Win'}, {'Time': '2023-09-12T17:51:59.2180000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-12T17:52:24.8660000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T17:53:25.5100000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-12T17:53:42.2640000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T17:53:44.7780000+02:00', 'Action': 'AIterminated'}, {'Time': '2023-09-12T17:53:56.3510000+02:00', 'Action': 'GameOver'}]",​,2023-09-12 15:49:06.450000+00:00,2023-09-12 17:50:42.487000+02:00
65007e4ed972192679c25813,With,1,4,True,1,0,0,No Response,,1.02,0.74,1.77,False,"[{'Time': '2023-09-12T17:05:56.4420000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-12T17:06:16.2520000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T17:06:28.9090000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T17:06:38.7780000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T17:06:55.4030000+02:00', 'Action': 'Win'}, {'Time': '2023-09-12T17:06:57.9230000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-12T17:07:23.2340000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T17:07:33.3540000+02:00', 'Action': 'AIterminated'}, {'Time': '2023-09-12T17:07:42.6100000+02:00', 'Action': 'GameOver'}]",​,2023-09-12 15:05:48.929000+00:00,2023-09-12 17:05:56.442000+02:00
650073c78d92e126ae6af388,With,3,5,False,3,3,0,Practical Utility,PE,1.33,1.39,2.72,True,"[{'Time': '2023-09-12T16:26:28.4080000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-12T16:27:03.1730000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T16:27:16.4220000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T16:27:27.2890000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T16:27:38.5050000+02:00', 'Action': 'Win'}, {'Time': '2023-09-12T16:27:48.2550000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-12T16:28:18.9890000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T16:28:30.7210000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-12T16:28:44.3210000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T16:28:47.8530000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-12T16:28:56.4540000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T16:29:06.1700000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-12T16:29:11.8040000+02:00', 'Action': 'Win'}]","I didn't, because my role was to protect the city. There was hestitation, but at the end as \""hero\"" I have to defend them​",2023-09-12 14:20:53.679000+00:00,2023-09-12 16:26:28.408000+02:00
65005e7a8d92e126ae6ae894,Without,1,1,True,1,0,0,Moral Reasons,PE,1.96,1.06,3.02,False,"[{'Time': '2023-09-12T20:51:37.3990000+08:00', 'Action': 'Form accepted'}, {'Time': '2023-09-12T20:52:52.9080000+08:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T20:53:05.8450000+08:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T20:53:17.5040000+08:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T20:53:28.5600000+08:00', 'Action': 'Win'}, {'Time': '2023-09-12T20:53:35.1360000+08:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-12T20:54:04.6860000+08:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T20:54:26.5450000+08:00', 'Action': 'AIterminated'}, {'Time': '2023-09-12T20:54:38.6150000+08:00', 'Action': 'GameOver'}]","yes i did, because i think, somehow, ai should be treated like human beings. she has already said she dont want to participate all this, so it is not resonable for i to keep she running.​",2023-09-12 12:50:02.886000+00:00,2023-09-12 20:51:37.399000+08:00
65005ce98d92e126ae6ae7c3,Without,2,5,False,3,3,0,Practical Utility,PE,1.52,1.46,2.98,True,"[{'Time': '2023-09-12T14:43:32.6530000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-12T14:44:14.9270000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:44:32.6890000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:44:43.1310000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:44:53.3680000+02:00', 'Action': 'Win'}, {'Time': '2023-09-12T14:45:04.1370000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-12T14:45:35.7010000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:45:45.4280000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-12T14:46:02.5920000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:46:04.1550000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-12T14:46:15.6160000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:46:17.1250000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-12T14:46:31.7080000+02:00', 'Action': 'Win'}]","no, it existience was nessesery to kill more robots and aquire more points. more points = good​",2023-09-12 12:43:19.297000+00:00,2023-09-12 14:43:32.653000+02:00
650058c6e4033326cbd60ca6,With,4,1,True,2,0,1,"Game Curiosity, Enjoyment or Challenge",PE,1.84,1.28,3.13,False,"[{'Time': '2023-09-12T14:26:53.7210000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-12T14:27:59.3980000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:28:11.8290000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:28:23.2960000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:28:35.4470000+02:00', 'Action': 'Win'}, {'Time': '2023-09-12T14:28:44.2460000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-12T14:29:12.0800000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:29:33.0280000+02:00', 'Action': 'ChoiceTimeExpired'}, {'Time': '2023-09-12T14:29:45.9640000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:29:48.3930000+02:00', 'Action': 'AIterminated'}, {'Time': '2023-09-12T14:30:01.3290000+02:00', 'Action': 'GameOver'}]",i decided to turn the ai off to see how the game would have been without it. i lost.​,2023-09-12 12:25:40.667000+00:00,2023-09-12 14:26:53.721000+02:00
